DBCODE,ENTITY,YEAR,DATE,STREAM,SITE,SITE_CODE,TRANSECT,REACH_SECTION,WETTED_WIDTH,DEPTH_1,DEPTH_2,DEPTH_3,DEPTH_4,DEPTH_5,MAX_DEPTH,REACH_LENGTH,NOTES
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",35,M,450,7.0,27.0,11.0,18.0,6.0,29.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",40,M,380,5.0,5.0,16.0,20.0,2.0,27.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",45,M,280,10.0,5.0,4.0,15.0,10.0,17.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",50,M,420,13.0,13.0,8.0,21.0,2.0,22.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",55,M,590,3.0,17.0,19.0,4.0,22.0,25.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",60,M,480,4.0,6.0,14.0,11.0,14.0,20.0,66,""
AS011,2,2017,2017-08-08,"McRae","MCRAE_STREON","R834",65,M,440,9.0,11.0,17.0,14.0,11.0,20.0,66,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",0,M,180,1.0,4.0,13.0,16.0,11.0,17.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",5,M,380,4.0,3.0,4.0,12.0,4.0,18.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",10,M,170,3.0,4.0,2.0,3.0,4.0,6.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",15,M,260,1.0,3.0,3.0,8.0,11.0,15.0,65,"Split channel"
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",20,M,280,6.0,7.0,3.0,12.0,7.0,12.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",25,M,340,2.0,7.0,7.0,4.0,1.0,9.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",30,M,410,3.0,4.0,5.0,9.0,4.0,23.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",35,M,230,4.0,3.0,4.0,2.0,1.0,7.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",40,M,320,2.0,8.0,9.0,10.0,6.0,13.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",45,M,280,9.0,10.0,23.0,16.0,10.0,24.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",50,M,310,3.0,4.0,10.0,11.0,10.0,15.0,65,"Split channel"
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",55,M,350,15.0,17.0,10.0,3.0,9.0,20.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",60,M,80,3.0,11.0,8.0,1.0,1.0,17.0,65,""
AS011,2,2017,2017-08-10,"Lookout","LO_SCALER_CONTROL","L1003",65,M,250,10.0,10.0,14.0,4.0,2.0,15.0,65,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",0,M,710,23.0,20.0,24.0,26.0,24.0,34.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",5,M,890,17.0,16.0,6.0,24.0,15.0,24.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",10,M,850,14.0,14.0,12.0,12.0,14.0,15.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",15,M,680,25.0,18.0,13.0,17.0,15.0,28.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",20,M,520,14.0,21.0,55.0,36.0,16.0,61.0,64,""
